Amino Acid,MW,pI,hI,conc ,C1%,C2%,C3%,P,T,LogP,NumHDonors,NumHAcceptors,LogP,NumHDonors,NumHAcceptors
Lysine,146.19,9.47,-3.9,5.0,100.0,0.0,0.0,6.3,281.25,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,5.0,100.0,0.0,0.0,8.2,283.7,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,5.0,100.0,0.0,0.0,10.01,285.62,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,10.0,100.0,0.0,0.0,4.9,278.05,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,10.0,100.0,0.0,0.0,6.19,280.3,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,10.0,100.0,0.0,0.0,8.03,283.0,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,10.0,100.0,0.0,0.0,10.4,285.2,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
L-valine,117.15,6.02,4.2,1.0,100.0,0.0,0.0,3.6,276.2,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-valine,117.15,6.02,4.2,1.0,100.0,0.0,0.0,5.1,279.4,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-valine,117.15,6.02,4.2,1.0,100.0,0.0,0.0,6.6,282.1,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-valine,117.15,6.02,4.2,1.0,100.0,0.0,0.0,8.1,284.1,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-threonine,119.12,5.6,-0.7,1.0,100.0,0.0,0.0,4.6,278.6,-1.2208999999999997,3.0,3.0,-1.2208999999999997,3.0,3.0
L-threonine,119.12,5.6,-0.7,1.0,100.0,0.0,0.0,6.3,281.5,-1.2208999999999997,3.0,3.0,-1.2208999999999997,3.0,3.0
